id;Source;CIUDAD;LATITUD;LONGITUD;País;Target;ciudad;LATITUD;LONGITUD;País;weight
15;      ATF001;Burgenland;47°49?00?N;17°01?00?E;Austria;   ;;;;;3
19;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;   ;;;;;72091
135;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;   ;;;;;9221
226;      ESD001;Madrid;40°38?00?N;03°28?00?W;España;   ;;;;;10
262;      ITD001;Roma;41°50?01?N;12°45?11?E;Italia;   ;;;;;7
289;      ITD004;Torino;45°02?21?N;07°53?53?E;Italia;   ;;;;;3
328;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;   ;;;;;2071
366;      ZAD001;Cabo occidental;33°41?54?S;19°29?26?E;South Africa;   ;;;;;1
372;      ZAD002;Cabo oriental;31°42?44?S;25°37?52?E;South Africa;   ;;;;;2
378;      ZAD005;Mpumalanga;26°17?27?S;29°16?32?E;South Africa;   ;;;;;5
20;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AF1;Ab Barik;34°39?04?N;66°15?16?E;Afghanistan;1218
136;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AF1;Ab Barik;34°39?04?N;66°15?16?E;Afghanistan;347
329;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AF1;Ab Barik;34°39?04?N;66°15?16?E;Afghanistan;43
21;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AF3;Ab Khowrak;35°30?05?N;67°45?40?E;Afghanistan;32795
137;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AF3;Ab Khowrak;35°30?05?N;67°45?40?E;Afghanistan;3988
330;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AF3;Ab Khowrak;35°30?05?N;67°45?40?E;Afghanistan;913
22;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AF6;Abazey;31°55?00?N;67°44?32?E;Afghanistan;17169
138;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AF6;Abazey;31°55?00?N;67°44?32?E;Afghanistan;517
331;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AF6;Abazey;31°55?00?N;67°44?32?E;Afghanistan;747
23;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AF8;Almasha;33°30?47?N;64°25?47?E;Afghanistan;287
139;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AF8;Almasha;33°30?47?N;64°25?47?E;Afghanistan;42
332;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AF8;Almasha;33°30?47?N;64°25?47?E;Afghanistan;10
24;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFB;Angut;36°11?04?N;66°01?05?E;Afghanistan;7877
333;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AFB;Angut;36°11?04?N;66°01?05?E;Afghanistan;286
25;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFE;Badam Kala;33°58?44?N;68°33?33?E;Afghanistan;437
26;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFH;Badgah;34°59?10?N;64°58?20?E;Afghanistan;622
140;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AFH;Badgah;34°59?10?N;64°58?20?E;Afghanistan;278
334;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AFH;Badgah;34°59?10?N;64°58?20?E;Afghanistan;45
27;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFK;Bakur Khel;33°44?51?N;68°32?35?E;Afghanistan;1647
141;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AFK;Bakur Khel;33°44?51?N;68°32?35?E;Afghanistan;168
335;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AFK;Bakur Khel;33°44?51?N;68°32?35?E;Afghanistan;151
28;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFN;Bano Kelay;31°55?46?N;64°49?28?E;Afghanistan;17468
142;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AFN;Bano Kelay;31°55?46?N;64°49?28?E;Afghanistan;963
336;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AFN;Bano Kelay;31°55?46?N;64°49?28?E;Afghanistan;276
29;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AFT;Bardiz;33°44?54?N;67°00?21?E;Afghanistan;4475
143;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AFT;Bardiz;33°44?54?N;67°00?21?E;Afghanistan;267
337;      UKD001;Manchester;53°28?51?N;02°14?15?W;Reino Unido;AFT;Bardiz;33°44?54?N;67°00?21?E;Afghanistan;6
4;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;204
16;      ATF001;Burgenland;47°49?00?N;17°01?00?E;Austria;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;5
30;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;1412
113;      BED002;Limburgo;51°03?13?N;05°38?24?E;Belgica;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;4
144;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;11
240;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;AT1;Adelsdorf;46°41?00?N;15°21?00?E;Austria;2
5;      ATD001;Viena;48°10?00?N;16°29?00?E;Austria;AT2;Aich;46°51?00?N;14°13?00?E;Austria;247
31;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AT2;Aich;46°51?00?N;14°13?00?E;Austria;24
145;      BED003;Bruselas;50°51?02?N;04°20?56?E;Belgica;AT2;Aich;46°51?00?N;14°13?00?E;Austria;35
32;      BED001;Flandes ;50°13?17?N;05°30?21?E;Belgica;AT4;Alkersdorf;47°53?13?N;16°05?48?E;Austria;5
241;      FRD001;Paris;49°09?40?N;01°20?25?E;Francia;AT4;Alkersdorf;47°53?13?N;16°05?48?E;Austria;36
