Id;Label;timeset;indegree;outdegree;degree;weighted indegree;weighted outdegree;weighted degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;Authority;Hub
AED003;AED003;;0;1;1;0;71;71;1;1;1;0;0;0.010728
M11;M11;;8;0;8;13584;0;13584;0;0;0;0;0.128315;0
AEV002;AEV002;;0;1;1;0;105;105;1;1;1;0;0;0.010728
AEV003;AEV003;;0;1;1;0;638;638;1;1;1;0;0;0.010728
ATD001;ATD001;;0;11;11;0;5059;5059;1;1;1;0;0;0.094405
AT1;AT1;;6;0;6;1638;0;1638;0;0;0;0;0.140055;0
AT2;AT2;;3;0;3;306;0;306;0;0;0;0;0.103925;0
AT5;AT5;;2;0;2;401;0;401;0;0;0;0;0.072068;0
AT8;AT8;;2;0;2;231;0;231;0;0;0;0;0.072068;0
ATR;ATR;;4;0;4;5366;0;5366;0;0;0;0;0.093776;0
CZ1;CZ1;;2;0;2;182;0;182;0;0;0;0;0.072068;0
CZR;CZR;;6;0;6;3644;0;3644;0;0;0;0;0.14418;0
HU1;HU1;;2;0;2;1814;0;1814;0;0;0;0;0.072068;0
SK1;SK1;;3;0;3;410;0;410;0;0;0;0;0.103925;0
SKR;SKR;;4;0;4;1586;0;1586;0;0;0;0;0.110878;0
XS0;XS0;;6;0;6;8276;0;8276;0;0;0;0;0.14418;0
ATF001;ATF001;;0;3;3;0;12;12;1;1;1;0;0;0.019897
AT7;AT7;;2;0;2;10;0;10;0;0;0;0;0.004161;0
BED001;BED001;;0;93;93;0;294058;294058;1;1;1;0;0;0.767599
AF1;AF1;;3;0;3;1608;0;1608;0;0;0;0;0.115383;0
AF3;AF3;;3;0;3;37696;0;37696;0;0;0;0;0.115383;0
AF6;AF6;;3;0;3;18433;0;18433;0;0;0;0;0.115383;0
AF8;AF8;;3;0;3;339;0;339;0;0;0;0;0.115383;0
AFB;AFB;;2;0;2;8163;0;8163;0;0;0;0;0.083525;0
AFE;AFE;;1;0;1;437;0;437;0;0;0;0;0.064175;0
AFH;AFH;;3;0;3;945;0;945;0;0;0;0;0.115383;0
AFK;AFK;;3;0;3;1966;0;1966;0;0;0;0;0.115383;0
AFN;AFN;;3;0;3;18707;0;18707;0;0;0;0;0.115383;0
AFT;AFT;;3;0;3;4748;0;4748;0;0;0;0;0.115383;0
AT4;AT4;;2;0;2;41;0;41;0;0;0;0;0.078597;0
AX1;AX1;;2;0;2;47;0;47;0;0;0;0;0.085149;0
BE1;BE1;;6;0;6;2281;0;2281;0;0;0;0;0.152608;0
BE4;BE4;;8;0;8;9020;0;9020;0;0;0;0;0.176375;0
BE8;BE8;;4;0;4;235;0;235;0;0;0;0;0.137051;0
BE9;BE9;;2;0;2;18798;0;18798;0;0;0;0;0.085149;0
CH4;CH4;;3;0;3;434;0;434;0;0;0;0;0.068139;0
CH8;CH8;;3;0;3;688;0;688;0;0;0;0;0.098682;0
CHB;CHB;;3;0;3;2082;0;2082;0;0;0;0;0.086869;0
CHE;CHE;;5;0;5;9391;0;9391;0;0;0;0;0.120042;0
CZ4;CZ4;;1;0;1;1;0;1;0;0;0;0;0.064175;0
DE1;DE1;;6;0;6;59363;0;59363;0;0;0;0;0.122097;0
DE2;DE2;;1;0;1;144;0;144;0;0;0;0;0.064175;0
DE4;DE4;;1;0;1;5593;0;5593;0;0;0;0;0.064175;0
DE6;DE6;;4;0;4;1560;0;1560;0;0;0;0;0.107986;0
DE9;DE9;;1;0;1;1;0;1;0;0;0;0;0.064175;0
DEL;DEL;;1;0;1;111;0;111;0;0;0;0;0.064175;0
DEN;DEN;;1;0;1;1;0;1;0;0;0;0;0.064175;0
DER;DER;;2;0;2;10862;0;10862;0;0;0;0;0.077432;0
DK1;DK1;;6;0;6;1801;0;1801;0;0;0;0;0.170823;0
DK2;DK2;;2;0;2;14;0;14;0;0;0;0;0.096032;0
DK4;DK4;;6;0;6;4695;0;4695;0;0;0;0;0.169659;0
EE1;EE1;;3;0;3;1063;0;1063;0;0;0;0;0.08555;0
F11;F11;;3;0;3;1095;0;1095;0;0;0;0;0.117006;0
F12;F12;;1;0;1;211;0;211;0;0;0;0;0.064175;0
F13;F13;;1;0;1;98;0;98;0;0;0;0;0.064175;0
FI1;FI1;;5;0;5;1573;0;1573;0;0;0;0;0.132353;0
FI4;FI4;;6;0;6;7940;0;7940;0;0;0;0;0.151366;0
FIA;FIA;;1;0;1;1;0;1;0;0;0;0;0.064175;0
FR1;FR1;;2;0;2;1048;0;1048;0;0;0;0;0.096032;0
FR2;FR2;;2;0;2;5433;0;5433;0;0;0;0;0.085149;0
FR3;FR3;;3;0;3;2599;0;2599;0;0;0;0;0.087646;0
FR4;FR4;;9;0;9;51127;0;51127;0;0;0;0;0.177815;0
FR5;FR5;;1;0;1;103;0;103;0;0;0;0;0.064175;0
FR6;FR6;;1;0;1;2;0;2;0;0;0;0;0.064175;0
FR7;FR7;;2;0;2;34;0;34;0;0;0;0;0.085149;0
FR8;FR8;;3;0;3;614;0;614;0;0;0;0;0.094494;0
FRB;FRB;;2;0;2;934;0;934;0;0;0;0;0.085149;0
FRD;FRD;;3;0;3;3155;0;3155;0;0;0;0;0.087646;0
HU4;HU4;;1;0;1;13;0;13;0;0;0;0;0.064175;0
