id,Source,Target,weight
"1,""      AED003"",""M11"",71"
"2,""      AEV002"",""M11"",105"
"3,""      AEV003"",""M11"",638"
"4,""      ATD001"",""AT1"",204"
"5,""      ATD001"",""AT2"",247"
"6,""      ATD001"",""AT5"",398"
"7,""      ATD001"",""AT8"",220"
"8,""      ATD001"",""ATR"",1239"
"9,""      ATD001"",""CZ1"",57"
"10,""      ATD001"",""CZR"",174"
"11,""      ATD001"",""HU1"",1812"
"12,""      ATD001"",""SK1"",120"
"13,""      ATD001"",""SKR"",565"
"14,""      ATD001"",""XS0"",23"
"15,""      ATF001"",""   "",3"
"16,""      ATF001"",""AT1"",5"
"17,""      ATF001"",""AT7"",6"
"18,""      ATF001"",""ATR"",1"
"19,""      BED001"",""   "",72091"
"20,""      BED001"",""AF1"",1218"
"21,""      BED001"",""AF3"",32795"
"22,""      BED001"",""AF6"",17169"
"23,""      BED001"",""AF8"",287"
"24,""      BED001"",""AFB"",7877"
"25,""      BED001"",""AFE"",437"
"26,""      BED001"",""AFH"",622"
"27,""      BED001"",""AFK"",1647"
"28,""      BED001"",""AFN"",17468"
"29,""      BED001"",""AFT"",4475"
"30,""      BED001"",""AT1"",1412"
"31,""      BED001"",""AT2"",24"
"32,""      BED001"",""AT4"",5"
"33,""      BED001"",""AT5"",3"
"34,""      BED001"",""AT8"",11"
"35,""      BED001"",""ATR"",4124"
"36,""      BED001"",""AX1"",34"
"37,""      BED001"",""BE1"",2159"
"38,""      BED001"",""BE4"",8703"
"39,""      BED001"",""BE8"",5"
"40,""      BED001"",""BE9"",3303"
"41,""      BED001"",""CH4"",245"
"42,""      BED001"",""CH8"",557"
"43,""      BED001"",""CHB"",1218"
"44,""      BED001"",""CHE"",5975"
"45,""      BED001"",""CZ1"",125"
"46,""      BED001"",""CZ4"",1"
"47,""      BED001"",""CZR"",3153"
"48,""      BED001"",""DE1"",58782"
"49,""      BED001"",""DE2"",144"
"50,""      BED001"",""DE4"",5593"
"51,""      BED001"",""DE6"",1502"
"52,""      BED001"",""DE9"",1"
"53,""      BED001"",""DEL"",111"
"54,""      BED001"",""DEN"",1"
"55,""      BED001"",""DER"",10861"
"56,""      BED001"",""DK1"",1612"
"57,""      BED001"",""DK2"",13"
"58,""      BED001"",""DK4"",4626"
"59,""      BED001"",""EE1"",475"
"60,""      BED001"",""F11"",487"
"61,""      BED001"",""F12"",211"
"62,""      BED001"",""F13"",98"
"63,""      BED001"",""FI1"",1070"
"64,""      BED001"",""FI4"",3914"
"65,""      BED001"",""FIA"",1"
"66,""      BED001"",""FR1"",1047"
"67,""      BED001"",""FR2"",1082"
"68,""      BED001"",""FR3"",1180"
"69,""      BED001"",""FR4"",27338"
"70,""      BED001"",""FR5"",103"
"71,""      BED001"",""FR6"",2"
"72,""      BED001"",""FR7"",16"
"73,""      BED001"",""FR8"",484"
"74,""      BED001"",""FRB"",131"
"75,""      BED001"",""FRD"",457"
"76,""      BED001"",""HU1"",2"
"77,""      BED001"",""HU4"",13"
"78,""      BED001"",""IB0"",27"
"79,""      BED001"",""IB1"",6"
"80,""      BED001"",""IB3"",6"
"81,""      BED001"",""IB4"",38"
"82,""      BED001"",""IB5"",3104"
"83,""      BED001"",""IBX"",136"
"84,""      BED001"",""IE1"",530"
"85,""      BED001"",""IE2"",2677"
"86,""      BED001"",""IE4"",1"
"87,""      BED001"",""IT3"",29"
"88,""      BED001"",""LT1"",339"
"89,""      BED001"",""LV1"",630"
"90,""      BED001"",""M11"",8109"
"91,""      BED001"",""NL1"",926"
"92,""      BED001"",""NL4"",11690"
"93,""      BED001"",""NL6"",224"
"94,""      BED001"",""NL8"",92"
"95,""      BED001"",""NO1"",2919"
"96,""      BED001"",""NO4"",19"
"97,""      BED001"",""OV3"",2"
"98,""      BED001"",""OV4"",2"
"99,""      BED001"",""PL1"",354"
"100,""      BED001"",""PLR"",4798"
"101,""      BED001"",""SC1"",466"
"102,""      BED001"",""SE1"",6798"
"103,""      BED001"",""SE2"",293"
"104,""      BED001"",""SE4"",541"
